,Result,p_value,Sen_Slope,Latitude,Longitude
CA1,no trend,0.5478440897802175,0.010143160307692347,31.375,72.375
CA10,no trend,0.1525372486357086,0.057293279272727204,32.125,73.125
CA11,no trend,0.10244051600437443,0.06406725148888887,32.125,73.375
CA12,increasing,0.034298607904997835,0.08800321025714238,32.125,73.625
CA13,no trend,0.1525372486357086,0.06939060462962968,32.375,73.125
CA14,no trend,0.08460120354238931,0.08606969914285725,32.375,73.375
CA15,increasing,0.035998365130720744,0.09827890132307682,32.375,73.625
CA16,increasing,0.02223147590906982,0.12406502077142868,32.375,73.875
CA17,increasing,0.009323690738454182,0.13695481080487854,32.375,74.125
CA18,increasing,0.03161805574284182,0.09155275105882348,32.375,77.375
CA19,increasing,0.025907418950376515,0.13396302668749996,32.625,73.625
CA2,no trend,0.5220496751289829,0.011709523146341516,31.375,72.625
CA20,increasing,0.017725030422736765,0.14740369694736846,32.625,73.875
CA21,increasing,0.009869908607444078,0.1482207029090907,32.625,74.125
CA22,increasing,0.0036493528181664736,0.17525338323809522,32.625,74.375
CA23,increasing,0.002599589152967763,0.17500698115584415,32.625,74.625
CA24,increasing,0.0036493528181664736,0.19058188878571514,32.625,74.875
CA25,increasing,0.0003893930038536553,0.1906432148478261,32.625,76.625
CA26,increasing,0.00011610883562052088,0.19197841622580686,32.625,76.875
CA27,increasing,7.958206329394812e-05,0.18941169306666694,32.625,77.125
CA28,increasing,2.112229083572892e-05,0.18887992088888905,32.625,77.375
CA29,increasing,0.001958695499005847,0.23790083696923092,32.875,74.125
CA3,no trend,0.29895631433464853,0.021791541416666504,31.625,72.625
CA30,increasing,0.0017535009035605231,0.24134267439130372,32.875,74.375
CA31,increasing,0.001640068127965355,0.2300732309090909,32.875,74.625
CA32,increasing,0.0012794796437458622,0.23235109481818145,32.875,74.875
CA33,increasing,0.00039916140889340035,0.21837290002083343,32.875,75.125
CA34,increasing,0.0006814846405776009,0.20849816894999867,32.875,75.375
CA35,increasing,5.450677513341162e-06,0.25810510270270265,32.875,76.625
CA36,increasing,7.535242195011449e-05,0.19675519578160924,32.875,76.875
CA37,increasing,1.204327546355799e-05,0.2077824093999993,32.875,77.125
CA38,increasing,0.005955888809489052,0.2568401655961537,33.125,74.125
CA39,increasing,0.004307468679526583,0.2622226029999979,33.125,74.375
CA4,no trend,0.22434596868729395,0.02802239480952365,31.625,72.875
CA40,increasing,0.0023332756070459926,0.2688801766808512,33.125,74.625
CA41,increasing,0.0019159726862454374,0.26648584872093095,33.125,74.875
CA42,increasing,0.010058216721417157,0.19789162606976723,33.125,75.125
CA43,increasing,0.0011676236201860757,0.21778431711666654,33.125,75.375
CA44,increasing,0.0008238309017452039,0.213792231910714,33.125,75.625
CA45,increasing,0.0007674948412068616,0.2141345512258061,33.125,75.875
CA46,increasing,0.012124633266302087,0.1495913012692305,33.125,76.125
CA47,increasing,0.008637406375094026,0.1458636860344818,33.125,76.375
CA48,increasing,0.004675347000959729,0.14872373651351375,33.125,76.625
CA49,increasing,0.002283108589945959,0.15365912118518504,33.375,74.375
CA5,no trend,0.36386591137481306,0.02787615911111156,31.875,72.625
CA50,increasing,0.004049005950248263,0.2776087687500002,33.375,74.625
CA51,increasing,0.0014331982129474063,0.28949258857692345,33.375,74.875
CA52,increasing,0.0010405168766083328,0.2804475850845067,33.375,75.125
CA53,increasing,0.009684748052126935,0.21065332985713983,33.375,75.625
CA54,increasing,0.005497633711777583,0.2102535524626863,33.375,75.875
CA55,increasing,0.0004405703132539518,0.23059076092499992,33.375,76.125
CA56,increasing,0.007843242151437613,0.16243730040909085,33.375,76.375
CA57,increasing,0.004487993775241339,0.15231676508474581,33.375,76.625
CA58,increasing,6.216244145162975e-05,0.20342143857894668,33.625,75.625
CA59,increasing,0.0021857266882647775,0.22683248251851829,33.625,75.875
CA6,no trend,0.28696449803017954,0.034011421623376614,31.875,72.875
CA60,increasing,0.0026560774810930887,0.21219768198630118,33.625,76.125
CA61,increasing,0.000136180523682361,0.22573593162499989,33.875,75.625
CA62,increasing,0.0005760453906025198,0.23489003342857195,33.875,75.875
CA63,increasing,0.0005622875120152582,0.22531331464285742,33.875,76.125
CA64,increasing,0.00012915231554933015,0.19987956964285697,34.125,75.625
CA7,no trend,0.15823605925048412,0.04903922634210523,31.875,73.125
CA8,no trend,0.1247476483607377,0.05099600780000036,31.875,73.375
CA9,increasing,0.0008839832305997941,0.144944986885246,32.125,72.875
JA1,no trend,0.43693905240401065,0.013151671735849042,31.375,72.125
JA10,increasing,0.001874107152358917,0.1238791713692308,32.375,72.125
JA11,increasing,0.0020022912846611174,0.1411409694698794,32.375,72.375
JA12,increasing,0.03110406895447615,0.1158091869038462,32.375,72.625
JA13,increasing,0.020040708267546448,0.12805566113207523,32.375,72.875
JA14,increasing,0.047775472489360205,0.13290647517647092,32.625,72.625
JA15,increasing,0.04285833545146711,0.13870607890909106,32.625,72.875
JA16,no trend,0.07776797049562889,0.09900317834693963,32.625,73.125
JA17,increasing,0.03658068439675488,0.1300153965217394,32.625,73.375
JA18,increasing,0.018040779046951227,0.19706117522033925,32.875,72.875
JA19,increasing,0.03658068439675488,0.1528690952439024,32.875,73.125
JA2,no trend,0.38852492387542625,0.016736708409090847,31.625,72.125
JA20,increasing,0.033203940149469924,0.15405071832857148,32.875,73.375
JA21,increasing,0.04088586802096783,0.13801415292857197,32.875,73.625
JA22,no trend,0.10521716598483555,0.13392048374418655,33.125,73.125
JA23,increasing,0.03899087422809,0.16664917063265353,33.125,73.375
JA24,increasing,0.017108032015650254,0.17914595270175412,33.125,73.625
JA25,increasing,0.013051319751132606,0.20631061595918312,33.125,73.875
JA26,increasing,0.04088586802096783,0.18573482171428637,33.375,73.375
JA27,increasing,0.03009757852173145,0.2020015609375001,33.375,73.625
JA28,increasing,0.026346614192444218,0.20979384583333363,33.375,73.875
JA29,no trend,0.11242035003071549,0.1623567463561649,33.375,74.125
JA3,no trend,0.3957530867262691,0.01978064776470573,31.625,72.375
JA30,increasing,0.028168330958064924,0.21657608157141794,33.625,73.625
JA31,increasing,0.012124633266302087,0.23890306991666557,33.625,73.875
JA32,no trend,0.11845829630641291,0.17549785889393915,33.625,74.125
JA33,no trend,0.09065964382730218,0.17462883129411758,33.625,74.375
JA34,increasing,0.04353345116258511,0.18445253784615348,33.625,74.625
JA35,increasing,0.021479133533080397,0.20709418447619,33.625,74.875
JA36,increasing,0.0326679109007717,0.18257748846428587,33.625,75.125
JA37,increasing,0.020040708267546448,0.18723661758024707,33.625,75.375
JA38,increasing,0.022616167304742252,0.21541512728571735,33.875,73.625
JA39,increasing,0.01146837568920489,0.2563009754249993,33.875,73.875
JA4,no trend,0.27243729421435336,0.031223720934782567,31.875,72.125
JA40,no trend,0.10662771628256973,0.18609680640000192,33.875,74.125
JA41,increasing,0.0396140760664323,0.19331181938095215,33.875,74.375
JA42,increasing,0.017108032015650254,0.22047462448837252,33.875,74.625
JA43,increasing,0.011256737507679082,0.23965583094545376,33.875,74.875
JA44,increasing,0.03009757852173145,0.19746646744000032,33.875,75.125
JA45,increasing,0.021111345868155107,0.19563552644285767,33.875,75.375
JA46,no trend,0.36386591137481306,0.11334702812903177,34.125,73.625
JA47,no trend,0.28696449803017954,0.12527940935999823,34.125,73.875
JA48,increasing,0.0006979347174365103,0.31646241412499937,34.125,74.125
JA49,increasing,0.00033531900572114637,0.3258965012333334,34.125,74.375
JA5,no trend,0.27818662969155894,0.03411811256140346,31.875,72.375
JA50,increasing,0.00013982827325231817,0.329771918590909,34.125,74.625
JA51,increasing,5.4113517764964314e-05,0.34843207280769195,34.125,74.875
JA52,increasing,0.001874107152358917,0.2616363439318176,34.125,75.125
JA53,increasing,0.0012506240636172006,0.2590591885476196,34.125,75.375
JA54,no trend,0.2121352738459965,0.14260428197435898,34.375,73.375
JA55,no trend,0.19812540817468172,0.14378234748979665,34.375,73.625
JA56,no trend,0.1433882213881601,0.15603707472727257,34.375,73.875
JA57,increasing,0.0003614114740304597,0.32899716025973996,34.375,74.125
JA58,increasing,0.0001130477698021437,0.3395224999770119,34.375,74.375
JA59,increasing,5.7206807424936557e-05,0.34260072233333316,34.375,74.625
JA6,increasing,0.0006192226089174468,0.12093845116129015,32.125,72.125
JA60,increasing,3.448441356379561e-05,0.34092675400000005,34.375,74.875
JA61,increasing,0.0007147531915081551,0.25938777608333324,34.375,75.125
JA62,no trend,0.09706228402956363,0.16982420472222318,34.625,73.375
JA63,no trend,0.08227142841987534,0.16020980146153802,34.625,73.625
JA64,no trend,0.06171930060523634,0.1655591474390246,34.625,73.875
JA65,increasing,0.00010715257060489591,0.32506208531249986,34.625,74.125
JA66,increasing,2.4427852551633933e-05,0.3365514170540537,34.625,74.375
JA67,increasing,9.181797282042936e-06,0.3528779832647061,34.625,74.625
JA68,increasing,3.86510938987783e-06,0.3413089088333325,34.625,74.875
JA69,increasing,0.00047422194520696515,0.26191497694999966,34.625,75.125
JA7,increasing,0.0009049221303483179,0.13303502682456145,32.125,72.375
JA70,increasing,0.0326679109007717,0.1879268764999997,34.875,73.625
JA71,increasing,0.019353557995168247,0.18511530472973026,34.875,73.875
JA72,increasing,7.535242195011449e-05,0.3259571421333343,34.875,74.125
JA73,increasing,8.640730092768223e-06,0.3361160003529411,34.875,74.375
JA74,increasing,2.6414291425247427e-06,0.3526880820666662,34.875,74.625
JA8,increasing,0.0014659151477216525,0.1360381297142855,32.125,72.625
JA9,no trend,0.11242035003071549,0.051623282988636394,32.375,71.875
