,Result,p_value,Sen_Slope,Latitude,Longitude
CA1,increasing,0.04851520725733227,0.11672514147058766,31.375,72.375
CA10,no trend,0.10662771628256973,0.18329178638888916,32.125,73.125
CA11,no trend,0.1263599736155412,0.18829992373076912,32.125,73.375
CA12,no trend,0.14160999917380646,0.17631671442857108,32.125,73.625
CA13,no trend,0.14518352306689053,0.2305065645081978,32.375,73.125
CA14,no trend,0.13810444323369464,0.21386438285714351,32.375,73.375
CA15,no trend,0.131294402832987,0.20449137381249471,32.375,73.625
CA16,no trend,0.1525372486357086,0.18587485389552408,32.375,73.875
CA17,no trend,0.17629978655143907,0.17869837180952353,32.375,74.125
CA18,no trend,0.16017106157854766,0.20229348450574752,32.375,77.375
CA19,no trend,0.11390659903444544,0.24676143161538605,32.625,73.625
CA2,increasing,0.0396140760664323,0.12213497598245594,31.375,72.625
CA20,no trend,0.37080942413610574,0.15042004777777732,32.625,73.875
CA21,no trend,0.4764356422370606,0.09046521134000017,32.625,74.125
CA22,no trend,0.16017106157854766,0.20440880850000237,32.625,74.375
CA23,no trend,0.19812540817468172,0.19205478042372845,32.625,74.625
CA24,no trend,0.20271812771495945,0.18291504436666675,32.625,74.875
CA25,no trend,0.11540827620099736,0.21446539477777707,32.625,76.625
CA26,no trend,0.08819565697334819,0.21290856272500136,32.625,76.875
CA27,no trend,0.07242314073363953,0.2775842299230756,32.625,77.125
CA28,no trend,0.05816701572486083,0.2708112107974668,32.625,77.375
CA29,no trend,0.40674642634276026,0.12548980015384797,32.875,74.125
CA3,increasing,0.04851520725733227,0.1341229548360662,31.625,72.625
CA30,no trend,0.42546840188080903,0.12299931247272686,32.875,74.375
CA31,no trend,0.3570042844368846,0.13321575477142703,32.875,74.625
CA32,no trend,0.4030618933771355,0.11530506186885271,32.875,74.875
CA33,no trend,0.250256188261168,0.2242276906093741,32.875,75.125
CA34,no trend,0.26959333192653423,0.20166502985074686,32.875,75.375
CA35,no trend,0.08942081584712103,0.23803592257142928,32.875,76.625
CA36,increasing,0.035998365130720744,0.2664956040526303,32.875,76.875
CA37,increasing,0.0396140760664323,0.3062653723111112,32.875,77.125
CA38,no trend,0.44080181969197896,0.1435113746470599,33.125,74.125
CA39,no trend,0.37080942413610574,0.1621301818372069,33.125,74.375
CA4,increasing,0.017108032015650254,0.17707297116363635,31.625,72.875
CA40,no trend,0.32393009538278505,0.1787829952537295,33.125,74.625
CA41,no trend,0.33038001720192245,0.15707362161363522,33.125,74.875
CA42,no trend,0.2639666898651223,0.19185074221348303,33.125,75.125
CA43,no trend,0.07452383351927616,0.3188906426097592,33.125,75.375
CA44,no trend,0.1783981261404226,0.2769179546557369,33.125,75.625
CA45,no trend,0.2840179991954108,0.20953742937931094,33.125,75.875
CA46,no trend,0.21453817981249435,0.1808151956984125,33.125,76.125
CA47,increasing,0.013051319751132606,0.3324351461129035,33.125,76.375
CA48,increasing,0.015930326400757533,0.3466280921568631,33.125,76.625
CA49,increasing,0.00914770576008861,0.3743403735757577,33.375,74.375
CA5,increasing,0.020749057000732707,0.20133662984745793,31.875,72.625
CA50,increasing,0.047775472489360205,0.4054660645945935,33.375,74.625
CA51,no trend,0.06263489741231609,0.41183306749999954,33.375,74.875
CA52,no trend,0.28993156372717976,0.18849072697014901,33.375,75.125
CA53,increasing,0.028640370629606338,0.41602835931111076,33.375,75.625
CA54,no trend,0.07559270054963352,0.3173004397790696,33.375,75.875
CA55,no trend,0.11094943345272501,0.28303604253846093,33.375,76.125
CA56,no trend,0.08342972942952875,0.23400926863043273,33.375,76.375
CA57,no trend,0.05992133053310744,0.2447991607058802,33.375,76.625
CA58,increasing,0.04926453707686296,0.25663050806249954,33.625,75.625
CA59,increasing,0.04353345116258511,0.37151171388235665,33.625,75.875
CA6,increasing,0.025474568520793328,0.20695475725714252,31.875,72.875
CA60,no trend,0.07887457149928978,0.3415112478000003,33.625,76.125
CA61,increasing,0.04491065554471274,0.2579292412298849,33.875,75.625
CA62,increasing,0.027703011309899717,0.42885765827380934,33.875,75.875
CA63,no trend,0.08819565697334819,0.22451630236363423,33.875,76.125
CA64,increasing,0.03374747859208749,0.2865631845399992,34.125,75.625
CA7,no trend,0.07559270054963352,0.17395970490000087,31.875,73.125
CA8,no trend,0.0997224831296577,0.17172189760000028,31.875,73.375
CA9,increasing,0.03485741025286315,0.2439029268000013,32.125,72.875
JA1,no trend,0.0703711779996643,0.11443149324999989,31.375,72.125
JA10,no trend,0.1247476483607377,0.17262394294871689,32.375,72.125
JA11,no trend,0.16809022118597694,0.15444600267647163,32.375,72.375
JA12,no trend,0.2121352738459965,0.1688760270350874,32.375,72.625
JA13,increasing,0.04088586802096783,0.272848669466668,32.375,72.875
JA14,no trend,0.05002355401380032,0.3227219712051277,32.625,72.625
JA15,no trend,0.056455588372598786,0.32706925399999937,32.625,72.875
JA16,no trend,0.12798847972762917,0.2601057264565231,32.625,73.125
JA17,no trend,0.14160999917380646,0.2524312550666663,32.625,73.375
JA18,increasing,0.047045241072330546,0.3782958607560985,32.875,72.875
JA19,no trend,0.09317870323396504,0.3308970543561632,32.875,73.125
JA2,no trend,0.055615718723114105,0.12796663646153988,31.625,72.125
JA20,no trend,0.08460120354238931,0.3145135310476194,32.875,73.375
JA21,no trend,0.06544929756729823,0.24116120702173985,32.875,73.625
JA22,no trend,0.36732744518956206,0.19051606584782715,33.125,73.125
JA23,no trend,0.231909254633071,0.2362292729736834,33.125,73.375
JA24,no trend,0.17215839526639853,0.27260801701999926,33.125,73.625
JA25,no trend,0.10662771628256973,0.3064532158666661,33.125,73.875
JA26,increasing,0.00914770576008861,0.45547814686842447,33.375,73.375
JA27,no trend,0.10662771628256973,0.3389513339253734,33.375,73.625
JA28,increasing,0.010444457452439382,0.6386953708214277,33.375,73.875
JA29,no trend,0.06263489741231609,0.4119612839629699,33.375,74.125
JA3,no trend,0.05992133053310744,0.1205149493125004,31.625,72.375
JA30,increasing,0.010058216721417157,0.699567801027025,33.625,73.625
JA31,increasing,0.0071151291968249986,0.7194154557777842,33.625,73.875
JA32,increasing,0.04024571172515312,0.4934860550689647,33.625,74.125
JA33,increasing,0.037769426971816955,0.46881686634999864,33.625,74.375
JA34,increasing,0.03485741025286315,0.4424593965000012,33.625,74.625
JA35,no trend,0.18051499320028608,0.24204988075000103,33.625,74.875
JA36,increasing,0.017414135259301577,0.46035950450588264,33.625,75.125
JA37,increasing,0.021479133533080397,0.4269324571714305,33.625,75.375
JA38,increasing,0.00831149668369835,0.801508733514707,33.875,73.625
JA39,increasing,0.005955888809489052,0.7810767289999997,33.875,73.875
JA4,no trend,0.05315834663193875,0.15587979842857044,31.875,72.125
JA40,increasing,0.025907418950376515,0.5427153009599999,33.875,74.125
JA41,increasing,0.02504798944787523,0.5237549592068977,33.875,74.375
JA42,increasing,0.020040708267546448,0.5108001001408455,33.875,74.625
JA43,increasing,0.017725030422736765,0.5124417354545456,33.875,74.875
JA44,increasing,0.017725030422736765,0.48952151214285833,33.875,75.125
JA45,increasing,0.021479133533080397,0.4670742458541657,33.875,75.375
JA46,increasing,0.0396140760664323,0.5850361857500054,34.125,73.625
JA47,increasing,0.03899087422809,0.5904877973333361,34.125,73.875
JA48,increasing,0.02185248752307989,0.5645566529622649,34.125,74.125
JA49,increasing,0.014824509032436373,0.587431065461542,34.125,74.375
JA5,no trend,0.05315834663193875,0.1481733902539692,31.875,72.375
JA50,increasing,0.014824509032436373,0.6081354882000036,34.125,74.625
JA51,increasing,0.007843242151437613,0.6032050255217388,34.125,74.875
JA52,increasing,0.034298607904997835,0.48427529892307736,34.125,75.125
JA53,increasing,0.04024571172515312,0.4421170160684918,34.125,75.375
JA54,increasing,0.027244335591832147,0.6826179742631598,34.375,73.375
JA55,increasing,0.021479133533080397,0.6539111509722209,34.375,73.625
JA56,increasing,0.015368664871441284,0.6192376712888858,34.375,73.875
JA57,increasing,0.009869908607444078,0.6309541039428577,34.375,74.125
JA58,increasing,0.009684748052126935,0.6141350607142831,34.375,74.375
JA59,increasing,0.009502690213507803,0.6065570356271212,34.375,74.625
JA6,no trend,0.10244051600437443,0.1700770782448978,32.125,72.125
JA60,increasing,0.006197685655045637,0.6324623258125008,34.375,74.875
JA61,no trend,0.09317870323396504,0.2612498894242406,34.375,75.125
JA62,increasing,0.004487993775241339,0.7829074059999952,34.625,73.375
