,Result,p_value,Sen_Slope,Latitude,Longitude
CA1,decreasing,0.0015682403213426177,-0.5652376687222245,31.375,72.375
CA10,decreasing,0.005722625754031929,-0.7967460544893651,32.125,73.125
CA11,decreasing,0.003966032031899713,-0.9084562123544306,32.125,73.375
CA12,decreasing,0.0016037841177298784,-1.1782220352999986,32.125,73.625
CA13,decreasing,0.005071444176493856,-0.9745018793170771,32.375,73.125
CA14,decreasing,0.008152704377754949,-0.9432807256785677,32.375,73.375
CA15,decreasing,0.0015682403213426177,-1.2761709664027892,32.375,73.625
CA16,decreasing,0.0006342716201532816,-1.8011309819215706,32.375,73.875
CA17,decreasing,0.0026560774810930887,-1.4954373345238081,32.375,74.125
CA18,decreasing,0.014297403253341168,-0.5794816694374996,32.375,77.375
CA19,decreasing,0.00028113154193132317,-1.799404380931033,32.625,73.625
CA2,decreasing,0.0008839832305997941,-0.6134003592307806,31.375,72.625
CA20,decreasing,0.0005102591291847869,-1.9127491940384642,32.625,73.875
CA21,decreasing,0.0020467759826494625,-1.6387320387857134,32.625,74.125
CA22,decreasing,0.003355836352608943,-1.6551763562499957,32.625,74.375
CA23,decreasing,0.004580802944314621,-1.6755890822000084,32.625,74.625
CA24,decreasing,0.00914770576008861,-1.586443640388893,32.625,74.875
CA25,decreasing,0.0196945160670825,-0.6672167604444516,32.625,76.625
CA26,decreasing,0.017725030422736765,-0.5326905274246594,32.625,76.875
CA27,decreasing,0.0003189148603717218,-0.723857035328359,32.625,77.125
CA28,decreasing,0.011256737507679082,-0.4714616019310334,32.625,77.375
CA29,decreasing,0.0013390430694546485,-1.7025463976087083,32.875,74.125
CA3,decreasing,0.0017149123510946662,-0.6064983552424249,31.625,72.625
CA30,decreasing,0.0021857266882647775,-1.6945286890666746,32.875,74.375
CA31,decreasing,0.004869753435094104,-1.6102745020877118,32.875,74.625
CA32,decreasing,0.007692492544883356,-1.5671665160178634,32.875,74.875
CA33,decreasing,0.0005102591291847869,-1.9670470836428617,32.875,75.125
CA34,decreasing,0.0032858977918535093,-1.2979393772105106,32.875,75.375
CA35,decreasing,0.014297403253341168,-0.5505417476923089,32.875,76.625
CA36,decreasing,0.024213354214826177,-0.42075004823287604,32.875,76.875
CA37,decreasing,0.011902273962431709,-0.4341192937384593,32.875,77.125
CA38,decreasing,0.005955888809489052,-1.588685177140003,33.125,74.125
CA39,decreasing,0.005722625754031929,-1.5278199197948719,33.125,74.375
CA4,decreasing,0.0014993191272469897,-0.6609307895882369,31.625,72.875
CA40,decreasing,0.006197685655045637,-1.4641595492876693,33.125,74.625
CA41,decreasing,0.006321868181676571,-1.3881314941153813,33.125,74.875
CA42,decreasing,0.0038846050158998224,-1.112157945890627,33.125,75.125
CA43,decreasing,0.008974691895178744,-1.0117758233452367,33.125,75.375
CA44,decreasing,0.010249717727361718,-0.9170742619074072,33.125,75.625
CA45,decreasing,0.015647278612943127,-0.8205159723456766,33.125,75.875
CA46,decreasing,0.014297403253341168,-0.7292901163787865,33.125,76.125
CA47,decreasing,0.020749057000732707,-0.5631013545600012,33.125,76.375
CA48,decreasing,0.04024571172515312,-0.4052262297199991,33.125,76.625
CA49,decreasing,0.005838207136144025,-0.4794328516190491,33.375,74.375
CA5,decreasing,0.005497633711777583,-0.5935854485555562,31.875,72.625
CA50,decreasing,0.003499795503944858,-1.50078162038983,33.375,74.625
CA51,decreasing,0.005955888809489052,-1.3317598572195115,33.375,74.875
CA52,decreasing,0.012124633266302087,-1.2106042863823514,33.375,75.125
CA53,decreasing,0.005497633711777583,-0.9940673155303038,33.375,75.625
CA54,decreasing,0.007398760573285035,-0.7753029429047639,33.375,75.875
CA55,decreasing,0.01064248222010411,-0.6765112734523849,33.375,76.125
CA56,decreasing,0.010058216721417157,-0.5849592370270285,33.375,76.375
CA57,decreasing,0.020040708267546448,-0.4656527826250354,33.375,76.625
CA58,decreasing,0.023805153813619473,-0.34638288217910507,33.625,75.625
CA59,decreasing,0.008473050347662436,-0.6148097126000038,33.625,75.875
CA6,decreasing,0.004049005950248263,-0.6712228552000056,31.875,72.875
CA60,decreasing,0.012124633266302087,-0.5079125614390289,33.625,76.125
CA61,decreasing,0.021111345868155107,-0.44047092250000375,33.875,75.625
CA62,decreasing,0.014040104090057959,-0.48993475151807186,33.875,75.875
CA63,decreasing,0.016806659693517245,-0.3948175187058818,33.875,76.125
CA64,decreasing,0.03542396828485228,-0.32422386765909034,34.125,75.625
CA7,decreasing,0.003149988949959104,-0.7708334112954535,31.875,73.125
CA8,decreasing,0.0018330834458109013,-0.8837008929696967,31.875,73.375
CA9,decreasing,0.006841297830529447,-0.7002125014285728,32.125,72.875
JA1,decreasing,0.0012506240636172006,-0.5115623822333352,31.375,72.125
JA10,decreasing,0.023006630865895605,-0.4881481129642883,32.375,72.125
JA11,decreasing,0.020749057000732707,-0.5464175532222192,32.375,72.375
JA12,decreasing,0.018040779046951227,-0.6229617672173873,32.375,72.625
JA13,decreasing,0.00914770576008861,-0.7173098524509826,32.375,72.875
JA14,decreasing,0.020392199947055323,-0.6708950059047682,32.625,72.625
JA15,decreasing,0.014824509032436373,-0.7645617429999731,32.625,72.875
JA16,decreasing,0.009502690213507803,-0.8664677431774164,32.625,73.125
JA17,decreasing,0.006448285714762969,-1.0108466225000023,32.625,73.375
JA18,decreasing,0.014297403253341168,-0.8674750829384624,32.875,72.875
JA19,decreasing,0.005388158995078385,-0.9853594650447778,32.875,73.125
JA2,decreasing,0.002772433295400889,-0.5310255632153852,31.625,72.125
JA20,decreasing,0.005071444176493856,-1.132379893379313,32.875,73.375
JA21,decreasing,0.00030326428193339083,-1.9486385563428599,32.875,73.625
JA22,decreasing,0.0071151291968249986,-1.059643711353848,33.125,73.125
JA23,decreasing,0.0005228280632956217,-1.7561665423250061,33.125,73.375
JA24,decreasing,0.0005760453906025198,-1.9367688432025327,33.125,73.625
JA25,decreasing,0.00048596183676252735,-2.1084652136785746,33.125,73.875
JA26,decreasing,0.0023332756070459926,-1.3142917758103514,33.375,73.375
JA27,decreasing,8.403545854074324e-05,-2.222158252357141,33.375,73.625
JA28,decreasing,5.563980232592414e-05,-2.285447447729723,33.375,73.875
JA29,decreasing,0.0017149123510946662,-1.6348030769411954,33.375,74.125
JA3,decreasing,0.0020022912846611174,-0.5659747847297291,31.625,72.375
JA30,decreasing,3.351522857863998e-05,-2.1666810640000005,33.625,73.625
JA31,decreasing,3.5480178060876e-05,-2.050132676882356,33.625,73.875
JA32,decreasing,0.0013089487258686194,-1.4998098193461566,33.625,74.125
JA33,decreasing,0.0020467759826494625,-1.3155859848953488,33.625,74.375
JA34,decreasing,0.004219697963602886,-1.15947600825373,33.625,74.625
JA35,decreasing,0.005838207136144025,-1.0797796113333409,33.625,74.875
JA36,decreasing,0.000993358529579158,-1.2447343190540476,33.625,75.125
JA37,decreasing,0.005955888809489052,-0.7797708638550728,33.625,75.375
JA38,decreasing,2.372968192787539e-05,-2.022454151704226,33.875,73.625
JA39,decreasing,2.1747300613439435e-05,-1.9103541938591526,33.875,73.875
JA4,decreasing,0.004771654265639302,-0.5157580008392847,31.875,72.125
JA40,decreasing,0.001089739592063932,-1.3108337171000244,33.875,74.125
JA41,decreasing,0.001958695499005847,-1.1541679983829756,33.875,74.375
JA42,decreasing,0.0030839741275201504,-1.0147928619318174,33.875,74.625
JA43,decreasing,0.004487993775241339,-0.9611360110149257,33.875,74.875
JA44,decreasing,0.005175095053007617,-0.707260334621625,33.875,75.125
JA45,decreasing,0.009684748052126935,-0.6125667872500019,33.875,75.375
JA46,decreasing,0.0007674948412068616,-1.3253120378275867,34.125,73.625
JA47,decreasing,0.00011610883562052088,-1.6676831171617654,34.125,73.875
JA48,decreasing,0.005280656450014076,-0.9224093815853657,34.125,74.125
JA49,decreasing,0.007398760573285035,-0.8151418037254897,34.125,74.375
JA5,decreasing,0.005497633711777583,-0.5515572119807698,31.875,72.375
JA50,decreasing,0.008473050347662436,-0.7350113905312536,34.125,74.625
JA51,decreasing,0.014297403253341168,-0.6730453036891896,34.125,74.875
JA52,decreasing,0.01353773777931222,-0.5786423610416662,34.125,75.125
JA53,decreasing,0.016509957836738698,-0.4882862007714282,34.125,75.375
JA54,decreasing,0.00039916140889340035,-1.3144723371529388,34.375,73.375
JA55,decreasing,0.0007147531915081551,-1.145130953144737,34.375,73.625
JA56,decreasing,0.00011006293961135505,-1.492688506054054,34.375,73.875
JA57,decreasing,0.003573862567090913,-0.8075318376666871,34.375,74.125
JA58,decreasing,0.008152704377754949,-0.724161881684212,34.375,74.375
JA59,decreasing,0.009869908607444078,-0.6491774585789516,34.375,74.625
JA6,decreasing,0.009502690213507803,-0.5033610398809558,32.125,72.125
JA60,decreasing,0.012124633266302087,-0.5824021629523811,34.375,74.875
JA61,decreasing,0.0196945160670825,-0.4359550873333357,34.375,75.125
JA62,decreasing,0.0001130477698021437,-1.485389841417721,34.625,73.375
JA63,decreasing,0.00020686361469923753,-1.2995201578051914,34.625,73.625
JA64,decreasing,0.0003109974090786949,-1.1896138680810826,34.625,73.875
JA65,decreasing,0.004133552550067865,-0.7404791365465105,34.625,74.125
JA66,decreasing,0.004396891546252224,-0.6390691612692325,34.625,74.375
JA67,decreasing,0.011902273962431709,-0.6046675805161316,34.625,74.625
JA68,decreasing,0.026346614192444218,-0.47565575938461807,34.625,74.875
JA69,decreasing,0.04632442167783868,-0.3322732266428566,34.625,75.125
JA7,decreasing,0.008974691895178744,-0.549898851482762,32.125,72.375
JA70,decreasing,0.001640068127965355,-0.8810588684810147,34.875,73.625
JA71,decreasing,0.002832340457386673,-0.7907316983714281,34.875,73.875
JA72,decreasing,0.003427127899007676,-0.7300779395744645,34.875,74.125
JA73,decreasing,0.006321868181676571,-0.6316642301020419,34.875,74.375
JA74,decreasing,0.018040779046951227,-0.4745821814363637,34.875,74.625
JA8,decreasing,0.009869908607444078,-0.5837934494838662,32.125,72.625
JA9,decreasing,0.021111345868155107,-0.45757302225000274,32.375,71.875
