,Result,p_value,Sen_Slope,Latitude,Longitude
CA1,no trend,0.29387765031619795,0.021901921391067537,31.375,72.375
CA10,no trend,1.0,-2.454640683228624e-05,32.125,73.125
CA11,no trend,0.83810858978553,-0.013958457502525244,32.125,73.375
CA12,no trend,0.4537672973691913,0.030615901491228066,32.125,73.625
CA13,no trend,0.9024333200095813,0.004928916882697922,32.375,73.125
CA14,no trend,0.9024333200095813,-0.007666759847826098,32.375,73.375
CA15,no trend,0.9240398006814219,-0.007345260758695491,32.375,73.625
CA16,no trend,0.470351418087696,0.041014275036363665,32.375,73.875
CA17,no trend,0.8808988697656468,0.005987495607553367,32.375,74.125
CA18,no trend,0.9457024715498787,-0.007198283266666661,32.375,77.375
CA19,no trend,0.9240398006814219,-0.011456822270833278,32.625,73.625
CA2,no trend,0.37557939353491765,0.01977245767,31.375,72.625
CA20,no trend,0.294266104304963,0.0703893050793651,32.625,73.875
CA21,no trend,0.9240398006814219,0.010108120194736819,32.625,74.125
CA22,no trend,0.8168835068089899,0.022592668566935495,32.625,74.375
CA23,no trend,0.8168835068089899,0.024340134543010733,32.625,74.625
CA24,no trend,0.6335534753768335,0.036093171902173746,32.625,74.875
CA25,no trend,0.6335534753768335,-0.016283159404761875,32.625,76.625
CA26,no trend,0.795791881562907,-0.012996598110139868,32.625,76.875
CA27,no trend,0.0789015593829665,-0.10848111153846145,32.625,77.125
CA28,no trend,0.08365644321423482,-0.10430753809615405,32.625,77.375
CA29,no trend,0.6728442148625922,-0.037185000509999996,32.875,74.125
CA3,no trend,0.42160910107579896,0.022803493633333317,31.625,72.625
CA30,no trend,0.539915857350804,-0.06780246067647057,32.875,74.375
CA31,no trend,0.4060445067036338,-0.07638280543448282,32.875,74.625
CA32,no trend,0.3908282308519908,-0.06659131101960786,32.875,74.875
CA33,no trend,0.20524714408164568,-0.08813780292222223,32.875,75.125
CA34,no trend,0.186425775893321,-0.11117453663928568,32.875,75.375
CA35,no trend,0.8594521306883358,-0.005380372052083304,32.875,76.625
CA36,no trend,0.6142802922561135,-0.016956567270220584,32.875,76.875
CA37,no trend,0.09386166319420308,-0.10952331114166663,32.875,77.125
CA38,no trend,0.9024333200095813,-0.005438649279956432,33.125,74.125
CA39,no trend,0.795791881562907,-0.024254127120689535,33.125,74.375
CA4,no trend,0.43751817737481247,0.02236022389285715,31.625,72.875
CA40,no trend,0.4872648904642325,-0.04724379030555524,33.125,74.625
CA41,no trend,0.5580781774416292,-0.05244347649107137,33.125,74.875
CA42,no trend,0.9891324349096959,0.0011678324269006521,33.125,75.125
CA43,no trend,0.5045014597713458,-0.0476214461203704,33.125,75.375
CA44,no trend,0.539915857350804,-0.04179768672222224,33.125,75.625
CA45,no trend,0.7130491088889688,-0.03473606498529408,33.125,75.875
CA46,no trend,0.8808988697656468,-0.008241565368421262,33.125,76.125
CA47,no trend,0.9240398006814219,0.018114972717741956,33.125,76.375
CA48,no trend,1.0,0.0015667659532967286,33.125,76.625
CA49,no trend,0.774848422162878,0.0269597670584616,33.375,74.375
CA5,no trend,0.6728442148625922,0.028692030833333337,31.875,72.625
CA50,no trend,0.9891324349096959,-0.011707470513636062,33.375,74.625
CA51,no trend,0.7130491088889688,-0.020992188802380952,33.375,74.875
CA52,no trend,0.5045014597713458,-0.04853990453214287,33.375,75.125
CA53,no trend,0.8594521306883358,-0.012803467173077065,33.375,75.625
CA54,no trend,0.6530785762864473,0.04438575852801358,33.375,75.875
