,Result,p_value,Sen_Slope,Latitude,Longitude
CA1,decreasing,0.008567853365078815,-1.3227631693215578,31.375,72.375
CA10,decreasing,0.021339057559387697,-2.2098296913696904,32.125,73.125
CA11,decreasing,0.03475180940193767,-2.094761382489089,32.125,73.375
CA12,no trend,0.07005128462163257,-2.0063825756115428,32.125,73.625
CA13,no trend,0.08365644321423482,-1.9464115005177414,32.375,73.125
CA14,decreasing,0.015913286769489554,-2.2601406945530234,32.375,73.375
CA15,decreasing,0.04240604327828201,-2.0776806788035724,32.375,73.625
CA16,decreasing,0.028309976162966377,-4.702599546722481,32.375,73.875
CA17,decreasing,0.037160458141364705,-3.976604773174989,32.375,74.125
CA18,no trend,0.3759635132769805,-0.7697204236541705,32.375,77.375
CA19,decreasing,0.01714159544079563,-4.371602398484551,32.625,73.625
CA2,decreasing,0.006185173069054972,-1.3932145688508752,31.375,72.625
CA20,decreasing,0.019849908135755934,-4.930009471846153,32.625,73.875
CA21,decreasing,0.026404804618867628,-3.8455958319545247,32.625,74.125
CA22,decreasing,0.037160458141364705,-4.176628051055508,32.625,74.375
CA23,decreasing,0.04240604327828201,-4.530892047322303,32.625,74.625
CA24,decreasing,0.037160458141364705,-4.634391156669514,32.625,74.875
CA25,no trend,0.186425775893321,-1.4019822189313733,32.625,76.625
CA26,no trend,0.24695545939811314,-1.123282399238889,32.625,76.875
CA27,no trend,0.16063112444447003,-1.0185421040446396,32.625,77.125
CA28,no trend,0.294266104304963,-0.7865215038833305,32.625,77.375
CA29,decreasing,0.0229245736165391,-3.875309869555554,32.875,74.125
CA3,decreasing,0.013686730990167595,-1.4341993789726173,31.625,72.625
CA30,decreasing,0.026404804618867628,-3.79062841259525,32.875,74.375
CA31,decreasing,0.039709797346107356,-4.0507918900124995,32.875,74.625
CA32,decreasing,0.04826478343874108,-4.396556785196874,32.875,74.875
CA33,no trend,0.17750773887281412,-2.887092890803922,32.875,75.125
CA34,no trend,0.1449961562134987,-2.0520763363913685,32.875,75.375
CA35,no trend,0.06203262229447826,-1.3620751432434175,32.875,76.625
CA36,no trend,0.07436890009945407,-1.0575753155416703,32.875,76.875
CA37,no trend,0.09386166319420308,-0.9393062486190477,32.875,77.125
CA38,no trend,0.5580781774416292,-1.0771447417393913,33.125,74.125
CA39,no trend,0.6728442148625922,-0.735374843356412,33.125,74.375
CA4,decreasing,0.015913286769489554,-1.480581006683334,31.625,72.875
CA40,no trend,0.17750773887281412,-2.3345614561648365,33.125,74.625
CA41,no trend,0.20524714408164568,-2.225714412912875,33.125,74.875
CA42,no trend,0.09386166319420308,-1.9463423267999989,33.125,75.125
CA43,no trend,0.1172543419784362,-1.8566082878333314,33.125,75.375
CA44,no trend,0.12376498707129491,-1.7686931440555531,33.125,75.625
CA45,no trend,0.0789015593829665,-1.6740555948181843,33.125,75.875
CA46,no trend,0.1110156560699953,-1.7760716140847794,33.125,76.125
CA47,no trend,0.08365644321423482,-1.508709614495833,33.125,76.375
CA48,no trend,0.1110156560699953,-1.1245642283444455,33.125,76.625
CA49,decreasing,0.04240604327828201,-1.0228230206209643,33.375,74.375
CA5,decreasing,0.021339057559387697,-1.5242919726391113,31.875,72.625
CA50,no trend,0.10504200372059169,-2.3755136211011934,33.375,74.625
CA51,no trend,0.1689113395241173,-2.2596754071770784,33.375,74.875
CA52,no trend,0.21515988319619161,-1.8454070343715299,33.375,75.125
CA53,no trend,0.08864074661698318,-1.8183134484604175,33.375,75.625
CA54,no trend,0.09932636867264089,-1.6198709830708304,33.375,75.875
CA55,no trend,0.0789015593829665,-1.5215530039583318,33.375,76.125
CA56,no trend,0.13055440660892748,-1.3600294328281257,33.375,76.375
CA57,no trend,0.12376498707129491,-1.2480047361562545,33.375,76.625
CA58,no trend,0.07436890009945407,-1.0169013248666596,33.625,75.625
CA59,no trend,0.08864074661698318,-1.4037235545927387,33.625,75.875
CA6,decreasing,0.04240604327828201,-1.5747101220296038,31.875,72.875
CA60,no trend,0.0789015593829665,-1.2741742046837148,33.625,76.125
CA61,no trend,0.1110156560699953,-1.1099555078750016,33.875,75.625
CA62,decreasing,0.04826478343874108,-1.1968864453906258,33.875,75.875
CA63,no trend,0.06203262229447826,-1.0080132643250017,33.875,76.125
CA64,no trend,0.13055440660892748,-0.879544657474747,34.125,75.625
CA7,decreasing,0.021339057559387697,-1.7364202688195378,31.875,73.125
CA8,decreasing,0.039709797346107356,-1.602895794934524,31.875,73.375
CA9,decreasing,0.03033242408326875,-1.8500308906830347,32.125,72.875
JA1,decreasing,0.009279250301124309,-1.1581678127500008,31.375,72.125
JA10,decreasing,0.04240604327828201,-1.7481057210795208,32.375,72.125
JA11,decreasing,0.021339057559387697,-1.90170503295908,32.375,72.375
JA12,decreasing,0.01268031791827573,-2.1092797111889023,32.375,72.625
JA13,decreasing,0.018452305746918585,-2.3009626836901913,32.375,72.875
JA14,decreasing,0.01714159544079563,-2.229315410527767,32.625,72.625
