,Result,p_value,Sen_Slope,Latitude,Longitude
CA1,increasing,1.163513729807164e-13,0.7698734681609194,31.375,72.375
CA10,increasing,6.681322162194192e-13,1.165902035151515,32.125,73.125
CA11,increasing,7.711609129046337e-13,1.2513443587142847,32.125,73.375
CA12,increasing,1.4284129434827264e-12,1.3497202917346944,32.125,73.625
CA13,increasing,4.1322500976548326e-13,1.2125492822985073,32.375,73.125
CA14,increasing,4.776179451937423e-13,1.3265952241940306,32.375,73.375
CA15,increasing,2.2420509893095186e-11,1.235052249947368,32.375,73.625
CA16,increasing,1.893818435405592e-12,1.5258730872363635,32.375,73.875
CA17,increasing,5.217190679474015e-09,1.1544216182500011,32.375,74.125
CA18,increasing,0.00018173026679679793,0.4139127927058824,32.375,77.375
CA19,increasing,2.283950806258872e-12,1.3423618875151502,32.625,73.625
CA2,increasing,1.2141090754980155e-07,0.4911537126987953,31.375,72.625
CA20,increasing,4.7979398232200765e-12,1.4148552549599993,32.625,73.875
CA21,increasing,7.265916757148716e-10,1.2233282863387098,32.625,74.125
CA22,increasing,1.0093379465558883e-09,1.2364224894838727,32.625,74.375
CA23,increasing,1.0953229434562672e-09,1.2121504159814818,32.625,74.625
CA24,increasing,7.265916757148716e-10,1.2027723662022467,32.625,74.875
CA25,increasing,1.977693834476213e-06,0.5870433777692293,32.625,76.625
CA26,increasing,4.205247873434459e-05,0.4463386382142878,32.625,76.875
CA27,increasing,0.0013390430694546485,0.31924693107692603,32.625,77.125
CA28,increasing,0.007398760573285035,0.24298501713332996,32.625,77.375
CA29,increasing,1.782604952538236e-09,1.2216208757142863,32.875,74.125
CA3,increasing,2.731148640577885e-14,0.8751477876363651,31.625,72.625
CA30,increasing,1.1334752691993799e-08,1.1846458875769246,32.875,74.375
CA31,increasing,2.710248492299172e-08,1.1102464253382347,32.875,74.625
CA32,increasing,1.5032288813721095e-07,0.9560099743333362,32.875,74.875
CA33,increasing,3.518365909727095e-08,1.1042899624285707,32.875,75.125
CA34,increasing,7.071418139936725e-08,1.009353776771428,32.875,75.375
CA35,increasing,0.0001043149263297849,0.4132321114027767,32.875,76.625
CA36,increasing,0.0029557146843735005,0.2772106643829791,32.875,76.875
CA37,increasing,0.02960491701982182,0.18239497566666626,32.875,77.125
CA38,increasing,3.960849870310312e-09,1.1404338475833242,33.125,74.125
CA39,increasing,3.651398161608199e-08,1.0217703159333338,33.125,74.375
CA4,increasing,1.0436096431476471e-14,0.9586197539795928,31.625,72.875
CA40,increasing,5.811013465972792e-07,0.8966254133661968,33.125,74.625
CA41,increasing,3.197582240987984e-06,0.7994237657735855,33.125,74.875
CA42,increasing,2.3326601983342243e-08,0.956305509,33.125,75.125
CA43,increasing,4.0804273293559845e-08,0.880889501482353,33.125,75.375
CA44,increasing,2.065204178780533e-07,0.8167326579729728,33.125,75.625
CA45,increasing,6.879610452426022e-07,0.7364387906333321,33.125,75.875
CA46,increasing,0.0003798483494712457,0.5160883927441845,33.125,76.125
CA47,increasing,4.575678892626556e-05,0.43657535399999386,33.125,76.375
CA48,increasing,0.007692492544883356,0.24773338441176537,33.125,76.625
CA49,increasing,0.018687085558533267,0.20499674082758665,33.375,74.375
CA5,increasing,1.9095836023552692e-14,0.9459448356481482,31.875,72.625
CA50,increasing,5.450677513341162e-06,0.8496243584782618,33.375,74.625
CA51,increasing,6.216244145162975e-05,0.7143457600843381,33.375,74.875
CA52,increasing,0.001874107152358917,0.5145114365757602,33.375,75.125
CA53,increasing,1.0272710382341899e-06,0.7698132151666683,33.375,75.625
CA54,increasing,4.812972272505434e-06,0.6326223399285779,33.375,75.875
CA55,increasing,1.992320014543303e-05,0.5581467650000003,33.375,76.125
CA56,increasing,0.003427127899007676,0.38271455372413865,33.375,76.375
CA57,increasing,0.03161805574284182,0.2507772723653846,33.375,76.625
CA58,no trend,0.23447012799473588,0.13257866333333368,33.625,75.625
CA59,increasing,9.885105175344577e-05,0.44389256322222237,33.625,75.875
CA6,increasing,1.2212453270876722e-14,1.0265767247499995,31.875,72.875
CA60,no trend,0.05478628497784088,0.2044197664418613,33.625,76.125
CA61,no trend,0.05816701572486083,0.20994341436666464,33.875,75.625
CA62,no trend,0.12963325889295896,0.16505309036363552,33.875,75.875
CA63,no trend,0.33691248449113465,0.0959489383529403,33.875,76.125
CA64,no trend,0.27530171876520027,0.11927894910638195,34.125,75.625
CA7,increasing,1.4166445794216997e-13,1.0792265470000002,31.875,73.125
CA8,increasing,7.083222897108499e-14,1.1703289696599994,31.875,73.375
CA9,increasing,1.0258460747536446e-12,1.0989712880256413,32.125,72.875
JA1,increasing,3.093081346605686e-13,0.7258978017343747,31.375,72.125
JA10,increasing,1.2525027661691723e-06,0.5802308200000007,32.375,72.125
JA11,increasing,6.879610452426022e-07,0.6675793463428542,32.375,72.375
JA12,increasing,3.808953152883987e-12,1.040140441333334,32.375,72.625
JA13,increasing,3.4721114872127146e-12,1.1466308688793105,32.375,72.875
JA14,increasing,3.362336065126925e-07,0.8279265527222223,32.625,72.625
JA15,increasing,4.2772127839540985e-07,0.8044582234782619,32.625,72.875
JA16,increasing,8.895106873296754e-13,1.2749320544696983,32.625,73.125
JA17,increasing,4.177991286269389e-12,1.251657616676056,32.625,73.375
JA18,increasing,1.6717300055368867e-07,0.8965147721538457,32.875,72.875
JA19,increasing,1.4318324303985719e-11,1.1649717947631586,32.875,73.125
JA2,increasing,6.750155989720952e-14,0.7666448025063288,31.625,72.125
JA20,increasing,8.700817843987352e-12,1.2869780025833382,32.875,73.375
JA21,increasing,9.971801162578231e-12,1.4006119397058816,32.875,73.625
JA22,increasing,4.581890422628021e-12,1.2691609567142883,33.125,73.125
JA23,increasing,1.4972467710094861e-12,1.378964791884615,33.125,73.375
JA24,increasing,1.2505774193982688e-11,1.4589130056000001,33.125,73.625
JA25,increasing,3.9892533720831125e-12,1.4813671563548405,33.125,73.875
JA26,increasing,9.105827203370609e-12,1.363413339900002,33.375,73.375
JA27,increasing,1.7926549134017478e-11,1.4259294792982444,33.375,73.625
JA28,increasing,2.827781020453557e-07,0.9884975183636378,33.375,73.875
JA29,increasing,1.303923429230025e-07,0.9877455187750016,33.375,74.125
JA3,increasing,4.9960036108132044e-14,0.8222680697692297,31.625,72.375
JA30,increasing,2.813542310242667e-08,1.176432678514285,33.625,73.625
JA31,increasing,3.6024139671297917e-07,1.1032022397647017,33.625,73.875
JA32,increasing,6.940453270742886e-05,0.7752159254999965,33.625,74.125
JA33,increasing,2.906770214750054e-06,0.7746411958795181,33.625,74.375
JA34,increasing,0.00021780301058837992,0.5901609708888891,33.625,74.625
JA35,increasing,0.0005228280632956217,0.515659378651162,33.625,74.875
JA36,increasing,0.001640068127965355,0.44976151422222205,33.625,75.125
JA37,increasing,1.7202581959807617e-05,0.5432026078333317,33.625,75.375
JA38,increasing,1.1345206809565411e-06,1.0705483774038471,33.875,73.625
JA39,increasing,1.0362598475310847e-05,0.9362231899696926,33.875,73.875
JA4,increasing,3.885780586188048e-14,0.8051486896666672,31.875,72.125
JA40,increasing,0.0007319475792293417,0.6207568711830979,33.875,74.125
JA41,increasing,0.0024898946311153747,0.5147886238780466,33.875,74.375
JA42,increasing,0.005722625754031929,0.40722729921276246,33.875,74.625
JA43,increasing,0.037769426971816955,0.3152389076785716,33.875,74.875
JA44,increasing,0.009323690738454182,0.3187589884166684,33.875,75.125
JA45,increasing,0.03658068439675488,0.23485445252941287,33.875,75.375
JA46,increasing,1.853675042795544e-06,1.032584148731343,34.125,73.625
JA47,increasing,1.7716675869472454e-05,0.9010689404222199,34.125,73.875
JA48,increasing,0.0003893930038536553,0.6772974712093036,34.125,74.125
JA49,increasing,0.0032858977918535093,0.5371613396111117,34.125,74.375
JA5,increasing,1.9095836023552692e-14,0.8730333860666671,31.875,72.375
JA50,increasing,0.009502690213507803,0.45508818117391775,34.125,74.625
JA51,increasing,0.03161805574284182,0.36064367471666686,34.125,74.875
JA52,increasing,0.012350666345370076,0.35793278207407825,34.125,75.125
JA53,increasing,0.027244335591832147,0.26372130341176653,34.125,75.375
JA54,increasing,9.755145975454127e-06,0.9985862282391319,34.375,73.375
JA55,increasing,3.2571953884064087e-05,0.8815861894000011,34.375,73.625
JA56,increasing,0.0002015894867575252,0.741774953288889,34.375,73.875
JA57,increasing,0.0032858977918535093,0.5779169763478254,34.375,74.125
JA58,increasing,0.008974691895178744,0.46480983055101943,34.375,74.375
JA59,increasing,0.02504798944787523,0.3669207752051285,34.375,74.625
JA6,increasing,3.7285755705163126e-07,0.5807304265714249,32.125,72.125
JA60,no trend,0.09317870323396504,0.27005956464634207,34.375,74.875
JA61,no trend,0.06936322397662731,0.24896888151428617,34.375,75.125
JA62,increasing,0.0009481856841082603,0.6778906096499995,34.625,73.375
JA63,increasing,0.001089739592063932,0.6156204863846156,34.625,73.625
JA64,increasing,0.0019159726862454374,0.5328297346849307,34.625,73.875
JA65,increasing,0.00831149668369835,0.4484321318857107,34.625,74.125
JA66,increasing,0.03374747859208749,0.35241328257500015,34.625,74.375
JA67,no trend,0.10949375324921995,0.2527351397948668,34.625,74.625
JA68,no trend,0.25842156858564413,0.1582682982250013,34.625,74.875
JA69,no trend,0.1525372486357086,0.16342663981250163,34.625,75.125
JA7,increasing,1.4972467710094861e-12,0.9337069761428567,32.125,72.375
JA70,increasing,0.0196945160670825,0.41575501665625136,34.875,73.625
JA71,increasing,0.01621786653054258,0.36682219460869436,34.875,73.875
JA72,increasing,0.034298607904997835,0.3330080323018859,34.875,74.125
JA73,no trend,0.09575362655815334,0.259194122799998,34.875,74.375
JA74,no trend,0.3175627629318982,0.14512579761111352,34.875,74.625
JA8,increasing,1.2996270726262082e-12,1.0096310043846144,32.125,72.625
JA9,increasing,1.853675042795544e-06,0.5661281264583335,32.375,71.875
