,Result,p_value,Sen_Slope,Latitude,Longitude
CA1,no trend,0.5478440897802175,-0.010724218015384632,31.375,72.375
CA10,no trend,0.2475748709681076,0.06741643859493665,32.125,73.125
CA11,no trend,0.31127803517322516,0.06480279293181815,32.125,73.375
CA12,no trend,0.36042484949103626,0.05320102355172423,32.125,73.625
CA13,no trend,0.33038001720192245,0.06261273054878037,32.375,73.125
CA14,no trend,0.35022473495831874,0.06320728696153811,32.375,73.375
CA15,no trend,0.42927228043634824,0.05353381416666666,32.375,73.625
CA16,no trend,0.5742532537655707,0.04028597986666706,32.375,73.875
CA17,no trend,0.7538537222167387,0.029653513266667157,32.375,74.125
CA18,no trend,0.32393009538278505,0.05472775083333362,32.375,77.375
CA19,no trend,0.5478440897802175,0.045105649250004376,32.625,73.625
CA2,no trend,0.6381099775334442,-0.007584601780821928,31.375,72.625
CA20,no trend,0.7291738446387364,-0.03367324402040783,32.625,73.875
CA21,no trend,0.3435274244325077,-0.04740414742553201,32.625,74.125
CA22,no trend,0.647471297281029,0.041251996916667366,32.625,74.375
CA23,no trend,0.5876800716188082,0.047185836500000376,32.625,74.625
CA24,no trend,0.5831883491445651,0.04263488408333357,32.625,74.875
CA25,no trend,0.9635272120780154,-0.0019917307708333296,32.625,76.625
CA26,no trend,0.8960515271647074,0.004504700918604673,32.625,76.875
CA27,no trend,0.25567950156083086,0.06650498023076928,32.625,77.125
CA28,no trend,0.1869774789903793,0.06223422975999986,32.625,77.375
CA29,no trend,0.36732744518956206,-0.055615722470588394,32.875,74.125
CA3,no trend,0.6711172015767364,-0.010575611051282047,31.625,72.625
CA30,no trend,0.31127803517322516,-0.05772602616666643,32.875,74.375
CA31,no trend,0.2840179991954108,-0.06356379205128185,32.875,74.625
CA32,no trend,0.2611839540853258,-0.06038346760000005,32.875,74.875
CA33,no trend,0.6241759113472618,0.05214941787499772,32.875,75.125
CA34,no trend,0.652173072073502,0.04920102024999977,32.875,75.375
CA35,no trend,0.4804901073607688,-0.03534387857142879,32.875,76.625
CA36,no trend,0.9063958955697125,0.004762659645833371,32.875,76.875
CA37,no trend,0.09838520343329482,0.08371613261728389,32.875,77.125
CA38,no trend,0.5478440897802175,-0.0521176070769231,33.125,74.125
CA39,no trend,0.452506848023722,-0.05261215462962961,33.125,74.375
CA4,no trend,0.42927228043634824,0.030025343048780684,31.625,72.875
CA40,no trend,0.42546840188080903,-0.05661687857812503,33.125,74.625
CA41,no trend,0.44080181969197896,-0.053762494140624895,33.125,74.875
CA42,no trend,0.46040676662009394,-0.04477892780952329,33.125,75.125
CA43,no trend,0.26959333192653423,0.10590251838028188,33.125,75.375
CA44,no trend,0.25567950156083086,0.1039341347647058,33.125,75.625
CA45,no trend,0.3081666451173595,0.10198219241666659,33.125,75.875
CA46,no trend,0.27818662969155894,-0.06554203004999941,33.125,76.125
CA47,no trend,0.8599964948596188,0.010808434733332699,33.125,76.375
CA48,no trend,0.7193783077047342,-0.019959087194029862,33.125,76.625
CA49,no trend,0.10521716598483555,0.11452749249999995,33.375,74.375
CA5,no trend,0.5263049882934578,0.030384066121212222,31.875,72.625
CA50,no trend,0.27530171876520027,0.1501139693333338,33.375,74.625
CA51,no trend,0.2121352738459965,0.1510054688888887,33.375,74.875
CA52,no trend,0.25567950156083086,-0.08470528127272688,33.375,75.125
CA53,no trend,0.1215711693652588,0.15227125821590884,33.375,75.625
CA54,no trend,0.18480459861151743,0.11606096546666625,33.375,75.875
CA55,no trend,0.20504335986379996,0.1057845412063492,33.375,76.125
CA56,no trend,0.37080942413610574,-0.060523341784810225,33.375,76.375
CA57,no trend,0.6616180550900568,-0.03164292334782629,33.375,76.625
CA58,no trend,0.8497450689186736,-0.014721578593749785,33.625,75.625
CA59,no trend,0.1433882213881601,0.12298352636842087,33.625,75.875
CA6,no trend,0.5010415803912662,0.03628897992307719,31.875,72.875
CA60,no trend,0.15631881099744427,0.12446605811111135,33.625,76.125
CA61,no trend,0.5435016407371722,-0.04839248441304355,33.875,75.625
CA62,no trend,0.11242035003071549,0.14637439646153894,33.875,75.875
