,Result,p_value,Sen_Slope,Latitude,Longitude
CA1,increasing,4.440892098500626e-16,0.39290598923529424,31.375,72.375
CA10,increasing,2.5979218776228663e-14,0.7108909585555554,32.125,73.125
CA11,increasing,2.731148640577885e-14,0.7947049162745095,32.125,73.375
CA12,increasing,4.75175454539567e-14,0.8739590273793126,32.125,73.625
CA13,increasing,2.1316282072803006e-14,0.7566645206190482,32.375,73.125
CA14,increasing,2.1316282072803006e-14,0.8416518818125006,32.375,73.375
CA15,increasing,1.4318324303985719e-11,0.71146173016,32.375,73.625
CA16,increasing,4.529709940470639e-14,0.9910044821578946,32.375,73.875
CA17,increasing,6.972131760818456e-10,0.6939027861212111,32.375,74.125
CA18,increasing,9.350726193346759e-09,0.4356200982600008,32.375,77.375
CA19,increasing,5.023981231033758e-12,0.7624545024444443,32.625,73.625
CA2,increasing,1.4259244229819501e-08,0.24211447426760557,31.375,72.625
CA20,increasing,3.020694805400126e-12,0.817419070185714,32.625,73.875
CA21,increasing,8.221594516300001e-10,0.7130480741562499,32.625,74.125
CA22,increasing,8.221594516300001e-10,0.7326370276571427,32.625,74.375
CA23,increasing,5.668525648871992e-10,0.7483768782142859,32.625,74.625
CA24,increasing,6.418916509431938e-10,0.7531016222380955,32.625,74.875
CA25,increasing,1.4813150261971941e-08,0.49215862420833334,32.625,76.625
CA26,increasing,4.906322925712914e-08,0.3982732228000001,32.625,76.875
CA27,increasing,6.818871245428682e-08,0.38147871751250007,32.625,77.125
CA28,increasing,1.45080425673072e-07,0.33510846867857175,32.625,77.375
CA29,increasing,4.286116350726843e-09,0.683686231044776,32.875,74.125
CA3,increasing,8.881784197001252e-16,0.4836921127058826,31.625,72.625
CA30,increasing,6.858036138979173e-09,0.6687241561224493,32.875,74.375
CA31,increasing,9.350726193346759e-09,0.6498374505084743,32.875,74.625
CA32,increasing,4.903337085249149e-07,0.6553300393658534,32.875,74.875
CA33,increasing,1.7120975748241563e-09,0.6780508768333336,32.875,75.125
CA34,increasing,1.4259244229819501e-08,0.6115741567368398,32.875,75.375
CA35,increasing,2.827781020453557e-07,0.3696106118653847,32.875,76.625
CA36,increasing,8.136316107520969e-07,0.30591793131428585,32.875,76.875
CA37,increasing,4.2772127839540985e-07,0.28535865952307704,32.875,77.125
CA38,increasing,1.6717300055368867e-07,0.710916244757143,33.125,74.125
CA39,increasing,3.9938135376615946e-07,0.6488844708333327,33.125,74.375
CA4,increasing,6.661338147750939e-16,0.5331943129000016,31.625,72.875
CA40,increasing,3.9886201035344016e-06,0.5882789190000007,33.125,74.625
CA41,increasing,4.812972272505434e-06,0.5352939194736844,33.125,74.875
CA42,increasing,9.350726193346759e-09,0.5709962823653848,33.125,75.125
CA43,increasing,8.655502536925042e-09,0.5359634244999979,33.125,75.375
CA44,increasing,4.3931889015524916e-08,0.4964506688723404,33.125,75.625
CA45,increasing,1.9250229543743558e-07,0.4454525002702696,33.125,75.875
CA46,increasing,2.2389889634544247e-05,0.395102924851852,33.125,76.125
CA47,increasing,2.4776226805744983e-06,0.33922739446153827,33.125,76.375
CA48,increasing,6.216244145162975e-05,0.25607780032432426,33.125,76.625
CA49,increasing,2.9045116361370305e-05,0.21428683717241406,33.375,74.375
CA5,increasing,2.220446049250313e-15,0.5400316798541663,31.875,72.625
CA50,increasing,5.563980232592414e-05,0.4330469149999995,33.375,74.625
CA51,increasing,0.001089739592063932,0.32945223737499923,33.375,74.875
CA52,increasing,0.0005760453906025198,0.3667195728260875,33.375,75.125
CA53,increasing,4.426092479192789e-07,0.478379790928573,33.375,75.625
CA54,increasing,3.03094296549844e-07,0.4164143762352933,33.375,75.875
CA55,increasing,1.4758127790948095e-06,0.3624947326285707,33.375,76.125
CA56,increasing,0.0003189148603717218,0.2992758666399999,33.375,76.375
CA57,increasing,0.0020467759826494625,0.22426857974358966,33.375,76.625
CA58,increasing,0.006321868181676571,0.16243543824242418,33.625,75.625
CA59,increasing,1.0362598475310847e-05,0.3264194639655173,33.625,75.875
CA6,increasing,1.1102230246251565e-15,0.5916786253333335,31.875,72.875
CA60,increasing,0.004219697963602886,0.1913309959733337,33.625,76.125
CA61,increasing,0.006448285714762969,0.1900021643870963,33.875,75.625
CA62,increasing,0.010249717727361718,0.19362506908235383,33.875,75.875
CA63,increasing,0.02223147590906982,0.14357244189090912,33.875,76.125
CA64,increasing,0.04632442167783868,0.1260490694426232,34.125,75.625
CA7,increasing,4.440892098500626e-16,0.6371250462599999,31.875,73.125
CA8,increasing,4.440892098500626e-16,0.7245038953962264,31.875,73.375
CA9,increasing,3.885780586188048e-14,0.6472451473333333,32.125,72.875
JA1,increasing,4.440892098500626e-16,0.35324929668750005,31.375,72.125
JA10,increasing,1.0679709355976286e-05,0.2525985360624994,32.375,72.125
JA11,increasing,3.9938135376615946e-07,0.30716380965517254,32.375,72.375
JA12,increasing,4.3365311341858614e-13,0.6136112872499999,32.375,72.625
JA13,increasing,1.34781075189494e-13,0.6973641376341468,32.375,72.875
JA14,increasing,5.430022365082721e-07,0.38757337728124996,32.625,72.625
JA15,increasing,1.9147199816771376e-06,0.44722489423880596,32.625,72.875
